year,Heilongjiang,Jilin,Liaoning
1981,22.40878134145899,23.613232111821084,24.411632798616665
1982,21.872565601970962,23.026533389345623,23.978629184660008
1983,20.665586078960168,21.983192899622512,22.90027577572246
1984,21.31601197459155,22.362095454765615,23.35673914703497
1985,21.26131528265305,22.255907884872038,23.17778074395573
1986,21.199103672633914,22.080146166049367,22.988463278264003
1987,20.84370359411463,21.526230285327152,22.393832421323935
1988,21.14743284566923,22.10700049208938,23.33616812987841
1989,22.121134697695812,23.163203209668097,23.998157230197837
1990,22.121420957341712,22.97313224350691,23.823946562270685
1991,22.312398006771623,23.072948793703596,23.849653982653223
1992,21.02340914911009,21.81479866555483,22.984227187824107
1993,21.491799732237634,22.41731870700821,23.4969963959609
1994,21.952281782238078,23.04415870711041,23.93192577948761
1995,22.11440957786435,22.92386750479458,23.868366007423642
1996,22.186184934528697,22.83913403901405,23.603553848808854
1997,22.205337380894036,23.118781133594652,23.59278054679539
1998,22.991892464205982,24.051485002665622,24.425369318607466
1999,22.724904471558965,23.725875411804655,24.647188146425837
2000,23.26583940712963,24.169590357524395,24.53904393912035
2001,23.187047792917276,24.197237261594925,24.810312599259614
2002,23.27529164164956,24.370290353284897,24.930537376808118
2003,23.463272344928075,24.279932692350062,24.819065417146255
2004,23.202788107896684,24.37624228397573,25.186274239422055
2005,23.05387715644509,23.845436209263184,24.35575353106551
2006,22.6585843204855,23.37726418081399,24.062444832347424
2007,23.29782205547988,24.22643985176037,24.96693922068817
2008,23.765378755267346,24.220435197224507,24.813101334517043
2009,23.44631927244813,24.0979730829079,24.596147750891955
2010,22.52494261174273,23.2575482898746,23.975942713961064
2011,23.395126418340585,23.858875192991743,24.22721549708113
2012,23.59841152302135,24.226874372194132,24.493447063634715
2013,22.868238406469413,23.501169563950246,24.027457929472202
2014,23.013852889278425,23.877383699664332,24.578693849325806
2015,23.593117331990275,24.398892357216443,24.822608592315262
2016,23.782124128763584,24.66491401798429,25.41674885727818
